"id","accommodates","antiguedad","host_response_rate","host_response_time","neighborhood_overview_flag","bathrooms","beds","price","host_is_superhost","host_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood_cleansed","property_type","room_type","minimum_nights","maximum_nights","whatcluster_k"
889680352237446272,2,15578,1,1,1,1,2,96,0,90,1,1,"Centro",9,1,1,365,"4"
877410049651170304,6,17036,1,1,1,2,3,149,0,26,1,1,"Centro",1,1,2,30,"4"
877440261406726144,4,17036,1,1,1,1,2,170,0,26,1,1,"Centro",1,1,2,60,"4"
877453556294888960,5,17948,1,1,0,2,4,138,0,55,1,1,"Centro",1,1,4,365,"4"
877476780924944768,5,15899,0.18,4,0,1,2,126,0,12,1,1,"Cruz De Humilladero",1,1,1,365,"2"
877553400032137984,8,14700,0.9,2,1,2,8,190,0,3,1,1,"Este",1,1,4,365,"3"
889693838325079808,2,15578,1,1,1,1,2,96,0,90,1,1,"Centro",9,1,1,365,"4"
889706876181619584,2,15578,1,1,1,1,2,99,0,90,1,1,"Centro",9,1,1,365,"4"
889753883291097344,4,18732,0.96,1,1,2,4,165,0,89,1,1,"Centro",1,1,1,1125,"4"
889755023857292672,4,15372,1,1,1,2,2,148,0,7,1,1,"Centro",1,1,1,1125,"1"
877572133740139264,2,19472,1,1,0,1,2,69,0,1,1,1,"Bailen-Miraflores",1,1,7,365,"4"
889755357803949312,2,15372,1,1,1,2,1,66,0,7,1,1,"Centro",1,1,1,1125,"1"
889761665446560896,2,15372,1,1,1,1,1,66,0,7,1,1,"Centro",1,1,1,1125,"1"
889766893022751872,8,18732,0.96,1,1,3,5,255,0,89,1,1,"Centro",1,1,1,1125,"3"
877641521827474176,3,19168,1,1,0,1,1,138,0,5,1,1,"Centro",1,1,2,365,"4"
889776582352870528,4,18732,0.96,1,1,1,3,130,0,89,1,1,"Centro",1,1,1,1125,"4"
889777482921038336,2,15578,1,1,1,1,2,98,0,90,1,1,"Centro",9,1,1,365,"4"
877926924761276928,6,15439,1,1,0,2,3,125,1,34,1,1,"Centro",1,1,1,365,"4"
889787884483016192,2,18732,0.96,1,1,1,3,110,0,89,1,1,"Centro",1,1,1,1125,"4"
878101996595132160,6,17734,1,1,0,2,4,83,1,2,1,1,"Centro",1,1,3,31,"4"
889795413498994560,4,18732,0.96,1,1,2,3,157,0,89,1,1,"Centro",1,1,1,1125,"4"
889806788432398720,2,18732,0.96,1,1,1,3,101,0,89,1,1,"Centro",1,1,1,1125,"4"
889811366712627584,3,18732,0.96,1,1,1,3,102,0,89,1,1,"Centro",1,1,1,1125,"4"
889817786305238144,3,18732,0.96,1,1,1,3,108,0,89,1,1,"Centro",1,1,1,1125,"4"
889827354293321088,5,18732,0.96,1,1,2,5,175,0,89,1,1,"Centro",1,1,1,1125,"4"
878263424474583808,3,19149,1,1,0,1,2,154,0,8,1,1,"Centro",1,1,3,365,"4"
878902759925408384,2,16712,0.9,1,0,1,2,111,0,112,1,1,"Centro",1,1,1,1125,"4"
889863424120802304,2,18279,0.33,4,0,1,1,62,0,1,1,1,"Este",1,1,2,365,"2"
879429574786092928,4,16582,1,2,1,1,4,220,0,1,1,1,"Centro",1,1,3,14,"4"
879628752241059712,4,16488,1,1,0,2,2,141,1,19,1,1,"Centro",1,1,4,55,"4"
879706171530920064,2,16375,0.88,1,1,1.5,1,93,0,3,1,1,"Bailen-Miraflores",1,1,1,365,"4"
879775322505136256,1,19438,0.9,2,0,1.5,2,40,0,2,1,1,"Centro",2,2,1,15,"5"
893956976040959360,6,18243,0.99,1,0,1,4,152,0,91,1,1,"Cruz De Humilladero",1,1,1,365,"4"
893962746805948160,3,18477,1,1,1,1,2,119,0,2,1,1,"Carretera de Cadiz",8,1,1,1125,"4"
893962795842574080,4,18751,0.98,1,1,1,3,133,0,45,1,1,"Churriana",1,1,2,31,"4"
889899392528447360,5,18854,1,1,0,1,3,91,0,3,1,1,"Cruz De Humilladero",1,1,1,365,"4"
893966915239592960,5,16546,0.47,4,1,1,3,163,0,10,1,1,"Cruz De Humilladero",1,1,4,60,"2"
890330280462311040,4,15948,0.97,1,0,2,2,138,0,69,1,1,"Centro",1,1,1,365,"4"
890415087776601984,2,16491,0.99,1,1,1,1,63,0,10,1,1,"Centro",1,1,1,365,"4"
894085925069735040,6,18242,0.97,1,0,3,4,462,0,45,1,1,"Centro",1,1,3,365,"4"
894097641796165888,6,16982,0.99,1,0,2,5,153,0,1198,1,1,"Carretera de Cadiz",1,1,1,28,"3"
890974839752135552,4,19490,1,1,0,1,3,91,1,1,1,1,"Cruz De Humilladero",1,1,5,120,"4"
894211803762611712,4,19478,1,1,0,1,1,79,0,1,0,1,"Bailen-Miraflores",1,1,1,1125,"4"
891066968662126208,2,19491,1,1,1,1,1,72,0,1,1,1,"Centro",1,1,3,30,"4"
894231714855978368,1,17021,1,1,1,1,1,30,0,4,1,1,"Centro",31,2,3,365,"5"
894275523148275584,6,16232,1,2,0,1,3,210,1,9,1,1,"Cruz De Humilladero",1,1,3,15,"4"
894569052940424064,4,17221,1,1,0,1,4,145,0,1,1,1,"Carretera de Cadiz",1,1,2,365,"4"
891269283164290432,4,19491,1,1,0,1,2,114,0,2,1,1,"Centro",1,1,4,30,"4"
894646016549088640,2,17072,1,1,1,1.5,1,43,1,5,1,1,"Este",2,2,2,365,"5"
891774389192120448,3,17058,1,1,1,1,2,83,0,1,1,1,"Centro",1,1,3,365,"4"
894840813254267008,4,17953,1,1,0,1,2,108,0,52,1,1,"Centro",1,1,1,365,"4"
891996519378899712,6,16931,1,1,0,2,2,215,1,55,1,1,"Teatinos-Universidad",1,1,1,1125,"4"
891997735125464704,6,18167,0.98,1,0,1,3,110,0,61,1,1,"Centro",1,1,1,365,"4"
894948780155504384,4,15948,0.97,1,0,1,2,83,0,69,1,1,"Centro",1,1,1,365,"4"
894952579255860992,4,15948,0.97,1,0,1,2,73,0,69,1,1,"Centro",1,1,1,365,"4"
895085323269372288,2,18625,0.99,1,0,1,1,77,1,60,1,1,"Centro",6,1,2,365,"4"
895282307695255168,2,19437,1,1,1,1.5,1,52,0,1,1,1,"Churriana",21,1,1,1125,"4"
895345290549399168,5,17552,1,1,1,2,3,146,1,6,1,1,"Centro",1,1,4,35,"4"
892446662083900800,6,17354,0.62,3,1,2,5,253,0,98,1,1,"Centro",1,1,1,365,"2"
892501189942426368,4,17445,0.88,2,0,2,3,130,0,24,1,1,"Centro",1,1,1,1125,"4"
895555070249744768,6,19361,0.25,4,0,2,7,182,0,2,1,1,"Centro",1,1,4,365,"2"
896116664214776064,4,16559,1,2,1,1,3,110,0,1,1,1,"Centro",1,1,2,28,"4"
892506201848564992,5,17026,1,1,0,1,1,2946,0,53,1,1,"Carretera de Cadiz",1,1,2,365,"4"
892550960169629440,8,18265,1,1,0,2,8,180,0,10,1,1,"Centro",1,1,1,365,"3"
896815884829095424,4,16252,0.92,1,0,2,2,107,0,133,1,1,"Centro",25,2,1,365,"5"
892551074083408128,6,18265,1,1,0,2,6,150,0,10,1,1,"Centro",1,1,1,365,"4"
892566477305786752,2,18265,1,1,0,2,3,44,0,10,1,1,"Centro",2,2,1,365,"5"
892658275024712704,6,17948,1,1,0,1.5,5,111,0,55,1,1,"Centro",1,1,4,365,"4"
896866432873213568,5,19408,0.85,1,0,1,2,97,0,7,1,1,"Centro",1,1,2,28,"4"
896919065034738432,6,19499,1,1,1,1,5,80,1,1,1,1,"Carretera de Cadiz",8,1,3,1125,"4"
892679575117409024,5,18101,0.99,1,1,1,5,135,1,112,1,1,"Centro",9,1,1,365,"4"
892680697361668992,3,18101,0.99,1,1,1,2,178,1,112,1,1,"Centro",9,1,1,60,"4"
897061334853340288,6,15570,1,1,0,2,4,120,0,52,1,1,"Centro",1,1,1,1125,"4"
897186644815090816,4,18307,0.82,1,0,1,1,91,0,34,1,1,"Centro",1,1,3,365,"4"
897217264254610944,3,19128,0.5,3,0,1,1,48,0,3,1,1,"Este",1,1,32,365,"2"
897530989327240192,2,17353,1,1,0,1,1,52,0,29,1,1,"Este",1,1,2,365,"4"
897531034755791360,2,17353,1,1,0,1,1,52,0,29,1,1,"Este",1,1,3,365,"4"
897556453019242880,4,17345,1,1,0,1,3,270,0,708,1,1,"Este",1,1,1,1125,"4"
897580153788822016,3,16034,1,2,0,1,2,105,1,1,1,1,"Centro",1,1,3,365,"4"
897602091378392192,5,16440,1,1,1,1,4,88,0,1,1,1,"Este",1,1,3,90,"4"
892901800969157248,4,19493,1,2,0,1,4,60,0,1,1,1,"Centro",1,1,60,365,"4"
897735414493992704,4,19500,0.9,1,1,1,3,70,0,1,1,1,"Este",1,1,1,1125,"4"
893188329695730304,4,19489,1,1,0,1,2,95,0,4,1,1,"Centro",1,1,2,365,"4"
897788903658142208,5,19173,0.95,1,1,1,3,78,0,15,1,1,"Centro",1,1,2,365,"4"
893242386843240064,8,17295,0.8,1,1,3,5,288,0,6,1,1,"Campanillas",8,1,2,30,"3"
897789097030138880,7,19500,1,1,1,1,4,78,0,1,0,1,"Carretera de Cadiz",1,1,2,30,"4"
893315848597909504,3,19494,1,2,1,1,1,107,0,1,1,1,"Centro",1,1,1,365,"4"
893327002904342400,7,15807,0.98,1,0,2,4,354,0,96,1,1,"Cruz De Humilladero",1,1,1,1125,"4"
893331965267980160,4,16559,1,1,1,1,3,200,1,9,1,1,"Este",13,1,1,365,"4"
893390231261251712,6,18955,1,1,0,2.5,4,379,0,29,1,1,"Centro",1,1,1,365,"4"
897802338641729664,5,19500,1,1,1,2,4,180,0,1,0,1,"Teatinos-Universidad",1,1,3,60,"4"
893414353346791040,8,18955,1,1,0,2.5,6,379,0,29,1,1,"Centro",1,1,1,365,"3"
898121620713286784,2,17353,1,1,0,1,1,52,0,29,1,1,"Este",1,1,2,120,"4"
893428127465710080,4,16928,1,1,1,1,3,139,0,1,1,1,"Centro",1,1,2,365,"4"
898327880487206656,5,18221,1,1,0,1,3,187,0,8,1,0,"Centro",1,1,2,365,"2"
898340420605325824,5,18221,1,1,0,1,2,198,0,8,1,0,"Centro",1,1,2,365,"2"
898341979649765760,4,18221,1,1,0,1,2,157,0,8,1,0,"Centro",1,1,2,365,"2"
898353424852797056,6,18101,0.99,1,1,2,4,279,1,112,1,1,"Centro",9,1,1,60,"4"
893447809061520256,5,19490,1,1,1,2,4,135,0,1,1,1,"Centro",1,1,2,14,"4"
893462435758677248,2,17016,1,1,1,1,1,83,1,7,1,1,"Centro",1,1,2,365,"4"
898382091704726144,4,19489,1,1,0,1,1,116,0,1,1,1,"Este",1,1,1,365,"4"
893472889827764480,3,17027,1,1,0,1,2,166,1,3,0,1,"Centro",1,1,2,30,"4"
898429273387059840,4,15948,0.97,1,0,1,3,76,0,69,1,1,"Centro",1,1,1,365,"4"
898517242798294528,2,16353,1,1,0,1,1,67,1,37,1,1,"Centro",1,1,2,7,"4"
900096131382915840,2,18242,1,1,0,1,1,73,1,5,1,1,"Este",37,2,1,365,"5"
898999154360370048,4,18879,0.98,1,0,2,3,144,0,35,1,1,"Centro",8,1,4,365,"4"
900416866359033600,2,17941,1,1,0,1,1,85,1,55,1,1,"Centro",1,1,1,1125,"4"
899010890138355840,5,18281,0.96,1,0,2,3,145,0,62,1,1,"Centro",8,1,1,365,"4"
899041237718854656,6,15279,1,1,0,2,3,239,1,4,1,1,"Este",1,1,5,365,"4"
900572577352496896,7,19504,1,1,1,1,4,74,0,1,0,1,"Centro",1,1,3,90,"4"
899169768195469952,4,16426,0.9,1,0,2,3,81,0,22,1,1,"Centro",1,1,1,1125,"4"
899180722630137600,4,15807,0.98,1,1,1,2,88,0,96,1,1,"Centro",1,1,1,1125,"1"
899283998667536384,6,19502,1,1,0,1,4,353,1,1,0,1,"Centro",1,1,1,60,"4"
899700430386500096,6,19503,1,1,0,2,3,400,1,1,1,1,"Centro",1,1,3,21,"4"
901478734313588224,4,17332,1,1,1,1,2,69,0,13,1,1,"Este",8,1,3,60,"4"
899773661325070848,4,19205,0.6,3,0,1,2,65,0,2,1,1,"Centro",8,1,3,365,"2"
901530221022390912,6,18884,1,3,1,2,1,182,0,3,1,1,"Centro",7,1,3,365,"4"
902055145508095616,4,18101,0.99,1,1,1,2,253,1,112,1,1,"Centro",9,1,1,60,"4"
907685982121014656,4,16254,1,1,0,1,3,116,1,12,1,1,"Centro",1,1,7,365,"4"
902177376783176576,4,17434,1,1,0,2,2,160,0,81,1,1,"Centro",1,1,2,60,"4"
902185980740986368,2,16923,1,1,1,1,1,51,1,3,1,1,"Centro",2,2,1,365,"5"
907688710894523264,4,17916,1,1,1,1,2,157,0,14,1,1,"Centro",1,1,1,365,"4"
902665010922671360,1,19434,1,1,0,1,1,21,0,4,1,1,"Churriana",5,2,1,1125,"5"
902677630891094016,2,17953,1,1,1,1,2,78,1,14,1,1,"Centro",6,1,2,60,"4"
902725973350065792,6,18101,0.99,1,1,2,4,317,1,112,1,1,"Centro",9,1,1,60,"4"
902805252492071808,1,17169,0.91,1,0,1,1,34,0,3,1,1,"Cruz De Humilladero",2,2,1,365,"5"
907844634707381504,4,19375,1,1,0,1,2,78,0,7,1,1,"Centro",1,1,3,365,"4"
902821735176938112,2,16719,1,1,0,1,1,45,1,4,1,1,"Palma-Palmilla",2,2,1,30,"5"
907845849649563776,3,19375,1,1,0,1,2,71,0,7,1,1,"Centro",1,1,3,365,"4"
907968014645015552,3,18962,1,1,1,1,2,207,0,4,1,1,"Centro",1,1,2,365,"4"
903281103580825984,4,19508,1,1,1,1,2,115,0,1,1,1,"Bailen-Miraflores",1,1,2,365,"4"
